"Element ID","Element Configuration","Element Connectivity","Component Name","Contour(Element Stresses (2D & 3D))",

1,104,2 3 8 1 ,panel1, 5.692E+00,
2,104,3 4 7 8 ,panel1, 6.160E+00,
3,104,4 5 6 7 ,panel1, 5.820E+00,
4,104,9 10 3 2 ,panel2, 5.402E+00,
5,104,10 11 4 3 ,panel2, 6.905E+00,
6,104,11 12 5 4 ,panel2, 5.364E+00,
7,104,13 14 10 9 ,panel3, 5.869E+00,
8,104,14 15 11 10 ,panel3, 5.937E+00,
9,104,15 16 12 11 ,panel3, 5.866E+00,
10,104,17 18 14 13 ,panel4, 5.902E+00,
11,104,18 19 15 14 ,panel4, 5.866E+00,
12,104,19 20 16 15 ,panel4, 5.903E+00,
13,104,21 22 18 17 ,panel5, 5.896E+00,
14,104,22 23 19 18 ,panel5, 5.879E+00,
15,104,23 24 20 19 ,panel5, 5.896E+00,
16,104,25 26 22 21 ,panel6, 5.896E+00,
17,104,26 27 23 22 ,panel6, 5.879E+00,
18,104,27 28 24 23 ,panel6, 5.896E+00,
19,104,29 30 26 25 ,panel7, 5.903E+00,
20,104,30 31 27 26 ,panel7, 5.866E+00,
21,104,31 32 28 27 ,panel7, 5.902E+00,
22,104,33 34 30 29 ,panel8, 5.866E+00,
23,104,34 35 31 30 ,panel8, 5.937E+00,
24,104,35 36 32 31 ,panel8, 5.869E+00,
25,104,37 38 34 33 ,panel9, 5.364E+00,
26,104,38 39 35 34 ,panel9, 6.905E+00,
27,104,39 40 36 35 ,panel9, 5.402E+00,
28,104,41 42 38 37 ,panel10, 5.820E+00,
29,104,42 43 39 38 ,panel10, 6.160E+00,
30,104,43 44 40 39 ,panel10, 5.692E+00,
31,61,41 42 ,spars,N/A,
32,61,42 43 ,spars,N/A,
33,61,43 44 ,spars,N/A,
34,61,1 8 ,spars,N/A,
35,61,8 7 ,spars,N/A,
36,61,7 6 ,spars,N/A,
37,60,2 3 ,stringers,N/A,
38,60,3 4 ,stringers,N/A,
39,60,4 5 ,stringers,N/A,
40,60,9 10 ,stringers,N/A,
41,60,10 11 ,stringers,N/A,
42,60,11 12 ,stringers,N/A,
43,60,13 14 ,stringers,N/A,
44,60,14 15 ,stringers,N/A,
45,60,15 16 ,stringers,N/A,
46,60,17 18 ,stringers,N/A,
47,60,18 19 ,stringers,N/A,
48,60,19 20 ,stringers,N/A,
49,60,21 22 ,stringers,N/A,
50,60,22 23 ,stringers,N/A,
51,60,23 24 ,stringers,N/A,
52,60,25 26 ,stringers,N/A,
53,60,26 27 ,stringers,N/A,
54,60,27 28 ,stringers,N/A,
55,60,29 30 ,stringers,N/A,
56,60,30 31 ,stringers,N/A,
57,60,31 32 ,stringers,N/A,
58,60,33 34 ,stringers,N/A,
59,60,34 35 ,stringers,N/A,
60,60,35 36 ,stringers,N/A,
61,60,37 38 ,stringers,N/A,
62,60,38 39 ,stringers,N/A,
63,60,39 40 ,stringers,N/A,
65,56,51 18 19 22 23 26 27 ,stringers,N/A,

